area_name_hebrew,alerts_since_oct7_2023
תל אביב,2725
ירושלים,2337
חיפה,1960
אשדוד,1923
ראשון לציון,1423
רמת גן,1391
הרצליה,1214
מודיעין,1191
עכו,1184
באר שבע,1184
צפת,1123
קריית שמונה,1092
משגב עם,916
אשקלון,885
מטולה,881
מרגליות,880
נתניה,852
חדרה,846
שלומי,774
כפר גלעדי,769
תל חי,742
חולון,718
אזור,702
אור יהודה,698
משמר השבעה,694
בית דגן,688
גנות,688
חמד,686
בני ברק,681
פתח תקווה,681
קריית אונו,681
מקווה ישראל,679
סביון,678
צפריה,676
גבעתיים,675
גבעת שמואל,674
נס ציונה,672
כפר חב''ד,672
פארק תעשיות פלמחים,670
גני תקווה,670
אחיעזר,665
מגשימים,663
באר יעקב,662
מנרה,662
לוד,661
גן שורק,660
נטעים,660
תעשיון צריפין,659
מעש,659
יגל,659
בארות יצחק,657
נחלים,657
בני עטרות,657
גת רימון,656
מזור,656
נופך,656
זיתן,655
רינתיה,655
ניר צבי,652
בית חנן,651
בית עריף,650
אלעד,650
טירת יהודה,649
כפר טרומן,649
יהוד מונוסון,649
רחובות,648
רמלה,646
כפר סירקין,646
כפר יובל,646
נחשונים,646
בית נחמיה,645
ברקת,645
גבעת כ''ח,645
שוהם,645
חדיד,644
איירפורט סיטי,643
גבעת השלושה,642
אירוס,641
נצר סרני,639
בית עובד,639
ראש העין,639
גינתון,639
עינת,637
בת ים,637
בצת,634
ישרש,633
בן שמן,633
כפר נוער בן שמן,633
בית עלמין מורשה,631
רמת השרון,627
אחיסמך,627
עיינות,625
אזור תעשייה נשר,623
אזור תעשייה אפק ולב הארץ,620
מצליח,619
מתחם פי גלילות,618
עופרים,618
כפר דניאל,616
ערב אל עראמשה,616
בית הלל,615
סתריה,611
גמזו,611
בית אריה,611
מבוא מודיעים,610
נאות קדומים,609
נען,607
חניתה,607
גיבתון,604
יד רמב''ם,604
נילי,603
גני הדר,600
רמות מאיר,598
בית חשמונאי,598
כפר שמואל,598
מודיעין מכבים רעות,598
עזריה,597
גזר,597
גן שלמה,596
כפר ביל''ו,596
בית עוזיאל,595
יציץ,593
פדואל,593
עלי זהב,592
קריית עקרון,591
חשמונאים,591
גאליה,590
משמר איילון,590
שילת,590
