area_name_hebrew,lat,lon,alerts_since_oct7_2023,geocoded
תל אביב,32.0852997,34.7818064,2725,yes
ירושלים,31.7788472,35.2257856,2337,yes
חיפה,32.8191218,34.9983856,1960,yes
אשדוד,31.7957411,34.6488659,1923,yes
ראשון לציון,31.9747693,34.778334,1423,yes
רמת גן,32.0686867,34.8246812,1391,yes
הרצליה,32.1676842,34.8308279,1214,yes
מודיעין,31.8952781,34.9892311,1191,yes
עכו,32.9228,35.0683,1184,yes
באר שבע,31.253,34.7915,1184,yes
צפת,32.9647,35.4956,1123,yes
קריית שמונה,33.2075,35.5706,1092,yes
משגב עם,33.1853,35.5503,916,yes
אשקלון,31.6688,34.5742,885,yes
מטולה,33.2817,35.5706,881,yes
מרגליות,33.1889,35.5453,880,yes
נתניה,32.3215,34.8532,852,yes
חדרה,32.4358,34.9198,846,yes
שלומי,33.0722,35.1472,774,yes
כפר גלעדי,33.2213,35.5703,769,yes
תל חי,33.2167,35.5664,742,yes
חולון,32.0191,34.7789,718,yes
אזור,32.0256,34.8217,702,yes
אור יהודה,32.0264,34.8556,698,yes
משמר השבעה,31.9506,34.8556,694,yes
בית דגן,32.0042,34.8272,688,yes
גנות,31.95,34.8667,688,yes
חמד,31.9833,34.8833,686,yes
בני ברק,32.0833,34.8333,681,yes
פתח תקווה,32.0841,34.8878,681,yes
קריית אונו,32.0582,34.8559,681,yes
מקווה ישראל,32.0478,34.8236,679,yes
סביון,32.0556,34.8742,678,yes
צפריה,31.9,34.8878,676,yes
גבעתיים,32.068,34.8126,675,yes
גבעת שמואל,32.0817,34.8529,674,yes
נס ציונה,31.93,34.7993,672,yes
כפר חב''ד,32.0175,34.8614,672,yes
פארק תעשיות פלמחים,31.9081,34.6919,670,yes
גני תקווה,32.0572,34.8872,670,yes
אחיעזר,31.9472,34.8681,665,yes
מגשימים,32.0194,34.9414,663,yes
באר יעקב,31.9553,34.8397,662,yes
מנרה,33.2239,35.5228,662,yes
לוד,31.9519,34.8951,661,yes
גן שורק,31.9597,34.8206,660,yes
נטעים,31.9353,34.8606,660,yes
תעשיון צריפין,31.9272,34.8956,659,yes
מעש,32.0281,34.9717,659,yes
יגל,32.04,34.9608,659,yes
בארות יצחק,32.0328,34.8967,657,yes
נחלים,32.0436,34.91,657,yes
בני עטרות,32.0711,34.9233,657,yes
גת רימון,32.0522,34.9122,656,yes
מזור,32.0889,34.93,656,yes
נופך,32.0961,34.9178,656,yes
זיתן,32.0786,34.9464,655,yes
רינתיה,32.0994,34.9428,655,yes
ניר צבי,31.9758,34.8814,652,yes
בית חנן,31.9292,34.8119,651,yes
בית עריף,32.0017,34.9786,650,yes
אלעד,32.0522,34.9514,650,yes
טירת יהודה,31.9772,34.9267,649,yes
כפר טרומן,31.9956,34.9772,649,yes
יהוד מונוסון,32.0275,34.8889,649,yes
רחובות,31.8928,34.8113,648,yes
רמלה,31.9267,34.8744,646,yes
כפר סירקין,32.0997,34.9358,646,yes
כפר יובל,33.2297,35.6172,646,yes
נחשונים,32.0889,34.9708,646,yes
בית נחמיה,32.0519,34.9714,645,yes
ברקת,32.0714,34.9594,645,yes
גבעת כ''ח,32.0847,34.9167,645,yes
שוהם,32.0044,34.9492,645,yes
חדיד,31.9911,34.9472,644,yes
איירפורט סיטי,32.0006,34.895,643,yes
גבעת השלושה,32.0994,34.9717,642,yes
אירוס,31.9139,34.8844,641,yes
נצר סרני,31.8747,34.8158,639,yes
בית עובד,31.9167,34.8386,639,yes
ראש העין,32.0956,34.9536,639,yes
גינתון,31.9631,34.9042,639,yes
עינת,32.0769,34.9381,637,yes
בת ים,32.0194,34.7506,637,yes
בצת,33.0467,35.1567,634,yes
ישרש,31.9658,34.9422,633,yes
בן שמן,31.9642,34.9714,633,yes
כפר נוער בן שמן,31.9642,34.9714,633,yes
בית עלמין מורשה,32.0617,34.92,631,yes
רמת השרון,32.1461,34.8406,627,yes
אחיסמך,31.8636,34.9331,627,yes
עיינות,31.8853,34.8764,625,yes
