route_ref,highway_type,lanes,maxspeed_kmh,length_km,midpoint_lat,midpoint_lon
03,trunk,,,0.078,29.61912,34.80056
1,trunk,2,90.0,2.478,31.80034,35.30624
1,trunk,2,80.0,1.023,31.79395,35.25847
1,trunk,2,90.0,1.312,31.80141,35.31901
1,trunk,2,70.0,0.655,31.78449,35.2898
1,trunk,2,90.0,2.256,31.79992,35.30535
1,trunk,2,80.0,0.657,31.79447,35.25818
1,trunk,,80.0,0.955,31.78548,35.29352
1,trunk,3,70.0,2.603,31.78854,35.27782
1,trunk,2,80.0,2.847,31.78838,35.27802
1,trunk,2,90.0,0.223,31.80544,35.32552
1,trunk,2,90.0,0.009,31.80606,35.32612
1,trunk,,90.0,0.036,31.80428,35.32482
1,trunk,2,80.0,0.011,31.80434,35.3249
1,trunk,2,90.0,0.01,31.79958,35.31185
1,trunk,2,90.0,0.029,31.80452,35.32513
1,trunk,2,90.0,0.377,31.80731,35.32759
1,trunk,2,90.0,1.014,31.8164,35.35663
1,trunk,2,90.0,2.026,31.80028,35.43943
1,trunk,2,90.0,1.347,31.80211,35.32072
1,trunk,2,90.0,0.032,31.80612,35.32618
1,trunk,1,80.0,0.208,31.79978,35.48942
1,trunk,1,80.0,0.168,31.7999,35.48927
1,trunk,2,80.0,0.03,31.80088,35.47468
1,trunk,2,80.0,1.291,31.80042,35.48336
1,trunk,2,90.0,0.006,31.79809,35.4274
1,trunk,2,90.0,4.923,31.80338,35.40255
1,trunk,2,90.0,2.022,31.80022,35.4389
1,trunk,2,90.0,0.007,31.81895,35.38927
1,trunk,2,90.0,3.141,31.81599,35.37083
1,trunk,2,90.0,0.03,31.81883,35.38929
1,trunk,2,90.0,4.986,31.80328,35.40241
1,trunk,2,90.0,4.135,31.81511,35.36726
1,trunk,2,90.0,1.946,31.81228,35.34148
1,trunk,2,,0.232,31.7907,35.25908
1,trunk,1,,0.084,31.78379,35.26225
1,trunk,1,,0.102,31.78488,35.25952
1,trunk,1,70.0,0.49,31.78619,35.26056
1,trunk,2,,0.197,31.78849,35.25969
1,trunk,1,,0.261,31.78618,35.25961
1,trunk,,70.0,0.013,31.78371,35.26278
1,trunk,,15.0,0.191,31.78338,35.2636
1,trunk,2,80.0,0.089,31.80146,35.44806
1,trunk,1,80.0,0.218,31.80158,35.45091
1,trunk,1,80.0,0.134,31.80155,35.44927
1,trunk,1,80.0,0.008,31.80161,35.44986
1,trunk,1,80.0,0.131,31.80161,35.44914
1,trunk,1,80.0,0.195,31.8015,35.4509
1,trunk,2,80.0,1.916,31.80112,35.46208
1,trunk,2,90.0,0.082,31.80832,35.32992
1,trunk,2,90.0,2.631,31.80916,35.33811
1,trunk,1,,0.097,31.784,35.26151
1,trunk,1,,0.026,31.7835,35.26285
1,trunk,1,70.0,0.045,31.78395,35.26239
1,trunk,1,70.0,0.059,31.78414,35.26213
1,trunk,1,,0.04,31.78404,35.26062
1,trunk,1,,0.074,31.7843,35.25999
1,trunk,1,80.0,0.164,31.80149,35.4529
1,trunk,1,80.0,0.007,31.80152,35.45225
1,trunk,1,80.0,0.164,31.80142,35.45301
1,trunk,1,80.0,0.026,31.80144,35.4522
1,trunk,1,80.0,0.007,31.80143,35.45232
1,trunk,1,80.0,0.038,31.7996,35.48999
10,trunk,,,4.161,32.60584,35.6177
10,trunk,,,0.086,32.61028,35.64246
10,trunk,,,4.195,32.6059,35.61813
10,trunk,,,12.268,32.59017,35.69431
10,trunk,,,10.327,32.58895,35.68762
109,primary,2,,0.035,29.58144,34.9704
109,primary,2,,0.027,29.58067,34.97101
109,primary,1,,0.039,29.58178,34.97012
109,primary,1,,0.036,29.58166,34.97015
109,primary,1,,0.038,29.58073,34.97088
109,primary,2,,0.021,29.58071,34.97079
109,primary,2,,0.063,29.58079,34.97074
109,primary,2,,0.693,29.57955,34.97367
109,primary,2,,0.156,29.57532,34.97736
109,primary,2,,0.187,29.57585,34.97511
109,primary,2,,0.163,29.57485,34.97661
109,primary,2,,0.067,29.5751,34.97848
109,primary,2,,0.006,29.5752,34.97637
109,primary,2,,0.093,29.57527,34.97602
109,primary,2,,0.089,29.57532,34.97601
109,primary,2,,0.006,29.57528,34.97631
109,primary,2,,0.006,29.57507,34.97793
109,primary,2,,0.021,29.57504,34.97771
109,primary,2,,0.006,29.57514,34.97787
109,primary,2,,0.068,29.57515,34.97827
12,trunk,2,80.0,0.026,30.0484,35.01443
12,trunk,2,80.0,0.037,30.02012,34.97645
12,trunk,2,80.0,4.62,30.04511,34.99883
12,trunk,,80.0,0.272,30.04798,35.01294
12,trunk,2,80.0,0.051,30.02039,34.97668
12,trunk,2,80.0,0.21,30.0192,34.97549
12,trunk,2,80.0,0.094,30.04813,35.0137
12,trunk,2,80.0,2.582,29.85314,34.84193
12,trunk,2,80.0,3.688,29.88005,34.85192
12,trunk,2,80.0,9.502,29.91313,34.8778
12,trunk,2,80.0,4.456,29.98037,34.93575
12,trunk,2,80.0,2.719,30.00506,34.95763
12,trunk,,,0.091,29.54336,34.94595
12,trunk,,,0.007,29.55051,34.93731
12,trunk,,,0.091,29.54756,34.94239
12,trunk,2,80.0,0.074,30.01831,34.97436
12,trunk,2,80.0,1.465,30.0153,34.97031
12,trunk,,,0.003,29.55034,34.93721
12,trunk,,,0.02,29.5504,34.93729
12,trunk,,,0.02,29.55061,34.93724
12,trunk,,,0.007,29.55063,34.93711
12,trunk,,,0.018,29.55057,34.937
12,trunk,,,0.009,29.55045,34.93697
12,trunk,,,0.023,29.55034,34.93707
12,trunk,,,0.033,29.54742,34.94277
13,trunk,2,90.0,0.044,30.27738,35.02131
13,trunk,2,90.0,11.276,30.28912,35.07839
13,trunk,2,90.0,0.042,30.30062,35.13384
15,motorway,,,1.704,29.46463,34.9881
15,motorway,,,2.049,29.39806,34.98173
15,motorway,,,1.413,29.40842,34.99262
15,motorway,,,1.407,29.4093,34.9927
15,motorway,,,1.44,29.46568,34.98801
15,motorway,,,2.736,29.43016,34.98783
15,motorway,,,2.733,29.42856,34.98881
15,motorway,,,1.549,29.44889,34.98546
15,motorway,,,1.549,29.44898,34.98535
15,motorway,,,0.035,29.40513,34.99044
