alert_rank,aadt_rank,lat,lon,road,risk_score,lanes_weight,aadt_vehicles_per_day,nearby_alerts_15km
1,159,31.94308594072457,34.89703326001623,40,1.8,1.5,22000,77348
2,492,31.956326092888315,34.932427457959754,443,1.8,1.5,8000,76507
3,22,31.992751639388207,34.86861006659015,1,1.5,2.0,55000,76439
4,191,31.95389895267376,34.85527648940719,44,1.8,2.5,18000,75340
5,435,32.0166256,34.926612,46,1.8,1.0,8000,75069
6,347,32.0346407,34.957967,465,2.0,1.5,8000,73572
7,185,31.91302882440063,34.89070614158708,44,1.8,2.5,18000,73543
8,241,32.06814693324196,34.935643620308596,471,1.5,2.0,13000,73367
9,26,31.92923797540002,34.927488235537474,1,1.5,2.0,55000,73309
10,32,32.04164339350598,34.94864403697986,6,1.5,1.5,48000,72456
11,517,31.8923708,34.9191756,424,2.0,1.0,8000,72389
12,143,32.06839206401847,34.90347858298609,40,1.8,1.5,22000,72098
13,548,31.984085099954147,34.94938362728124,453,2.0,1.5,8000,72076
14,436,32.05309012140236,34.94354161184395,444,2.0,1.5,8000,71903
15,147,31.912253520296748,34.85686025460137,40,1.8,1.5,22000,71842
16,38,31.9834824,34.9622899,6,1.5,1.5,48000,71572
17,532,31.909973729138205,34.882862977256856,431,1.5,1.5,8000,71400
18,512,32.02788930820734,34.87931894080527,461,2.0,1.5,8000,71260
19,177,31.8622554,34.894654,44,1.8,2.5,18000,70895
20,397,31.8659415,34.952257,424,2.0,1.0,8000,70693
21,425,31.9238404,34.8405001,421,2.0,1.5,8000,70427
22,394,31.8653449,34.9530996,424,2.0,1.0,8000,70042
23,528,32.0968676,34.9014573,483,2.0,1.5,8000,69435
24,184,31.984401840585537,34.8328839620562,44,1.8,2.5,18000,67484
25,325,31.9477567,34.9640961,443,1.8,1.5,8000,67380
26,529,31.9477025,34.9639463,443,1.8,1.5,8000,67380
27,21,31.86891584679172,34.967730160217585,1,1.5,2.0,55000,67219
28,34,31.847721500310076,34.86736489437123,6,1.5,1.5,48000,67143
29,156,32.137546495472016,34.91479269499026,40,1.8,1.5,22000,66939
30,468,31.927844498125214,34.828092583873435,431,1.5,1.5,8000,66376
31,246,32.12225093804128,34.89096275586194,5,1.5,2.0,13000,66298
32,233,32.0658234,34.8456447,471,1.5,2.0,13000,65825
33,239,32.1061054,34.964074,5,1.5,2.0,13000,65775
34,552,32.13914072915288,34.94178376141131,444,2.0,1.5,8000,65510
35,229,32.0650653,34.8442283,471,1.5,2.0,13000,64816
36,507,32.141879067031134,34.943845385145714,444,2.0,1.5,8000,64628
37,503,32.1105148,34.8684177,4911,2.0,1.5,8000,64187
38,469,32.1455712520984,34.95056971770853,531,1.5,1.5,8000,63616
39,57,32.07485592457246,34.84362373983916,4,1.8,1.5,40000,63595
40,240,32.0921744506942,34.86005448187934,481,2.0,2.0,13000,63576
41,533,31.8954928,34.9948359,431,1.5,1.5,8000,63566
42,487,31.83978988505241,34.85035618617226,411,2.0,1.5,8000,63514
43,89,31.821000428418944,34.92329554166621,3,1.8,1.5,30000,63497
44,136,31.8360213492937,34.783840426610936,40,1.8,1.5,22000,63461
45,77,32.14058818363728,34.87288191689019,4,1.8,1.5,40000,63109
46,445,31.8945922,34.9949889,431,1.5,1.5,8000,62923
47,225,31.9158734,34.8169926,423,2.0,2.0,13000,62385
48,446,31.998710333493378,34.819290577815984,412,2.0,1.5,8000,62359
49,87,31.819907202449993,34.92177209787874,3,1.8,1.5,30000,62234
50,236,31.9587301,34.8020987,441,2.0,2.0,13000,62065
51,348,32.1752232,34.8913508,554,2.0,1.0,8000,61983
