rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,base_capacity,suggested_capacity,capacity_upgraded,upgrade_reason,alert_seconds
1,33.06041,35.23072,כביש הצפון,North border,0.5621,14686,primary,80,5.33,8000,800,12.5,20,20,no,,240
2,33.01583,35.17106,89,Standard,0.5565,16465,trunk,90,6.0,9000,900,14.0,20,20,no,,240
3,32.98698,35.14722,70,Standard,0.5374,16547,trunk,90,6.0,20000,2000,31.2,50,50,no,,240
5,32.96085,35.15463,70,Standard,0.5173,17553,trunk,90,7.5,20000,2000,39.0,50,50,no,,300
6,32.97825,35.0938,גדוד 21,Standard,0.5092,12425,trunk,90,6.0,13000,1300,20.3,30,30,no,,240
7,31.86148,34.89522,44,Standard,0.5046,51554,trunk,80,6.67,18000,1800,35.1,50,50,no,alerts>40K (+2 tiers),300
8,32.01663,34.92661,46,Standard,0.5,54758,trunk,90,7.5,4000,400,7.8,12,30,yes,alerts>40K (+2 tiers),300
9,32.03258,34.9551,444,Standard,0.4957,54291,primary,80,6.67,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
10,33.00261,35.28692,89,Standard,0.4947,16109,trunk,80,5.33,9000,900,14.0,20,20,no,,240
11,31.86866,34.74622,שדרות העצמאות,Standard,0.4929,39680,trunk,90,7.5,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
12,32.06814,34.93277,כביש מכבית,Standard,0.4907,53735,motorway,90,7.5,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
13,31.25739,34.40389,232,Gaza envelope,0.4849,109,primary,90,6.0,7000,700,10.9,12,12,no,,240
14,31.80943,34.86972,3,Standard,0.4848,43621,trunk,90,7.5,30000,3000,58.5,50,50,no,alerts>40K (+2 tiers),300
15,32.98146,35.27361,854,Standard,0.4846,16750,primary,50,4.17,8000,800,15.6,20,20,no,,300
16,31.68051,34.60975,4,Standard,0.4826,12326,trunk,90,6.0,40000,4000,62.4,50,50,no,,240
17,32.09759,34.93396,ראש העין,Standard,0.4825,52844,primary,80,6.67,18000,1800,35.1,50,50,no,alerts>40K (+2 tiers),300
18,31.93083,34.92763,כביש חוצה ישראל,Standard,0.4821,52803,motorway,110,9.17,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
19,31.99181,34.85855,כביש ירושלים תל אביב,Standard,0.4811,52692,motorway,110,9.17,13000,1300,25.4,30,50,yes,alerts>40K (+2 tiers),300
20,32.95193,35.09089,גדוד 21,Standard,0.4809,12418,trunk,90,6.0,8000,800,12.5,20,20,no,,240
21,31.98647,34.95076,444,Standard,0.48,52565,primary,90,7.5,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
22,32.0668,34.90258,כביש מכבית,Standard,0.4798,52549,motorway,100,8.33,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
23,31.86108,34.71304,4,Standard,0.4755,34958,motorway,110,9.17,40000,4000,78.0,50,50,no,alerts>20K (+1 tier),300
24,33.05705,35.32919,כביש הצפון,North border,0.4742,9746,primary,80,5.33,8000,800,12.5,20,20,no,,240
26,31.30964,34.4902,241,Gaza envelope,0.4716,109,primary,80,5.33,8000,800,12.5,20,20,no,,240
27,31.89926,34.76249,42,Standard,0.47,41140,trunk,90,7.5,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
28,31.74148,34.64587,4,Standard,0.4671,18384,trunk,90,7.5,40000,4000,78.0,50,50,no,,300
29,32.11981,34.93939,444,Standard,0.4655,50975,primary,80,6.67,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
30,31.90034,34.73494,4,Standard,0.465,39021,motorway,110,9.17,40000,4000,78.0,50,50,no,alerts>20K (+1 tier),300
31,31.79509,34.68501,4,Standard,0.4618,25358,trunk,90,7.5,40000,4000,78.0,50,50,no,alerts>20K (+1 tier),300
32,31.71409,34.64351,232,Standard,0.4574,14851,primary,80,5.33,7000,700,10.9,12,12,no,,240
33,31.85984,34.95673,424,Standard,0.4553,49866,primary,80,6.67,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
34,32.01995,34.86071,412,Standard,0.4551,49846,primary,80,6.67,8000,800,15.6,20,50,yes,alerts>40K (+2 tiers),300
35,32.95786,35.26536,854,Standard,0.4549,15756,primary,80,6.67,8000,800,15.6,20,20,no,,300
36,31.69087,34.67899,3,Standard,0.4515,15658,trunk,90,6.0,30000,3000,46.8,50,50,no,,240
37,31.23149,34.35037,232,Gaza envelope,0.4512,0,primary,90,6.0,7000,700,10.9,12,12,no,,240
