alert_rank,lat,lon,road,risk_score,lanes_weight,nearby_alerts_marapr2026,northern_sentinel
1,31.94309,34.89703,40,1.8,1.5,55785,
2,31.95633,34.93243,443,1.8,1.5,55312,
3,31.99275,34.86861,1,1.5,2.0,55255,
4,32.01663,34.92661,46,1.8,1.0,54758,
5,32.03464,34.95797,465,2.0,1.5,54265,
6,31.9539,34.85528,44,1.8,2.5,54250,
7,32.06815,34.93564,471,1.5,2.0,54166,
8,32.06839,34.90348,40,1.8,1.5,52957,
9,31.91303,34.89071,44,1.8,2.5,52909,
10,31.92924,34.92749,1,1.5,2.0,52839,
11,31.98409,34.94938,453,2.0,1.5,52341,
12,31.89237,34.91918,424,2.0,1.0,52292,
13,32.02789,34.87932,461,2.0,1.5,51797,
14,31.91225,34.85686,40,1.8,1.5,51796,
15,32.09687,34.90146,483,2.0,1.5,51274,
16,31.86226,34.89465,44,1.8,2.5,51212,
17,32.13755,34.91479,40,1.8,1.5,49772,
18,32.10611,34.96407,5,1.5,2.0,49207,
19,32.12225,34.89096,5,1.5,2.0,49150,
20,31.94776,34.9641,443,1.8,1.5,49022,
21,31.9844,34.83288,44,1.8,2.5,48678,
22,31.86892,34.96773,1,1.5,2.0,48548,
23,31.84772,34.86736,6,1.5,1.5,48503,
24,32.14188,34.94385,444,2.0,1.5,48388,
25,32.06507,34.84423,471,1.5,2.0,47393,
26,32.14059,34.87288,4,1.8,1.5,46781,
27,31.83602,34.78384,40,1.8,1.5,45965,
28,31.89459,34.99499,431,1.5,1.5,45854,
29,32.0926,34.85228,481,2.0,2.0,45564,
30,32.17185,34.89704,531,1.5,1.5,45453,
31,31.91587,34.81699,423,2.0,2.0,44911,
32,31.95873,34.8021,441,2.0,2.0,44577,
33,32.03178,34.8293,4,1.8,1.5,44430,
34,31.81625,34.91433,44,1.8,2.5,44322,
35,32.12257,34.85414,4,1.8,1.5,44164,
36,31.847,34.83685,411,2.0,1.5,43869,
37,31.88837,34.77877,410,2.0,1.5,43561,
38,32.17967,34.94579,55,1.8,1.5,42915,
39,31.87296,34.82187,40,1.8,1.5,42901,
40,32.16054,34.84258,482,2.0,2.0,41481,
41,31.83022,34.98962,1,1.5,2.0,41363,
42,31.93497,34.7998,412,2.0,1.5,41281,
43,31.85467,35.02867,3,1.8,1.5,40550,
44,32.12002,34.82535,482,2.0,2.0,40150,
45,31.86673,34.74518,42,1.8,1.5,39680,
46,32.01517,34.81082,44,1.8,2.5,39317,
47,32.20287,34.97157,444,2.0,1.5,39101,
48,31.79683,34.79369,7,1.8,1.5,38442,
49,31.79425,34.83097,6,1.5,1.5,37587,
50,32.2298,34.9505,554,2.0,1.0,37587,
51,31.79708,34.97304,44,1.8,2.5,37307,
52,32.21645,34.88334,4,1.8,1.5,37007,
53,31.87398,34.71922,4,1.8,1.5,35706,
54,31.76198,34.79168,3,1.8,1.5,34422,
55,32.08285,34.80347,482,2.0,2.0,34018,
56,31.80684,35.0378,1,1.5,2.0,33933,
