rank,lat,lon,road,zone,composite_score,alert_score_norm,border_proximity_score,nearby_alerts_marapr2026,road_risk,lanes_weight,status,relocated_from_lat,relocated_from_lon,nearest_city_when_relocated,moved_km
1,33.06041,35.23072,כביש הצפון,north,0.5621,0.2682,0.8559,14686,2.5,1.5,relocated,33.07053,35.15253,שלומי,7.36
2,33.01583,35.17106,89,standard,0.5565,0.3007,0.8123,16465,3.5,1.5,rural,,,,
3,32.98698,35.14722,70,standard,0.5374,0.3022,0.7726,16547,3.5,1.5,rural,,,,
5,32.96085,35.15463,70,standard,0.5173,0.3206,0.7141,17553,3.5,1.5,rural,,,,
6,32.97825,35.0938,גדוד 21,standard,0.5092,0.2269,0.7916,12425,3.5,2.0,relocated,32.98721,35.09519,נהריה,1.0
7,31.86148,34.89522,44,standard,0.5046,0.9415,0.0678,51554,3.5,1.5,rural,,,,
8,32.01663,34.92661,46,standard,0.5,1.0,0.0,54758,3.5,1.0,urban_kept,,,,
9,32.03258,34.9551,444,standard,0.4957,0.9915,0.0,54291,2.5,1.5,urban_kept,,,,
10,33.00261,35.28692,89,standard,0.4947,0.2942,0.6952,16109,3.5,1.5,rural,,,,
11,31.86866,34.74622,שדרות העצמאות,standard,0.4929,0.7246,0.2611,39680,3.5,1.5,urban_kept,,,,
12,32.06814,34.93277,כביש מכבית,standard,0.4907,0.9813,0.0,53735,4.0,2.0,urban_kept,,,,
13,31.25739,34.40389,232,gaza,0.4849,0.002,0.9679,109,2.5,1.5,rural,,,,
14,31.80943,34.86972,3,standard,0.4848,0.7966,0.173,43621,3.5,1.5,rural,,,,
15,32.98146,35.27361,854,standard,0.4846,0.3059,0.6633,16750,2.5,1.5,rural,,,,
16,31.68051,34.60975,4,standard,0.4826,0.2251,0.7401,12326,4.0,2.0,rural,,,,
17,32.09759,34.93396,ראש העין,standard,0.4825,0.965,0.0,52844,2.5,2.5,urban_kept,,,,
18,31.93083,34.92763,כביש חוצה ישראל,standard,0.4821,0.9643,0.0,52803,4.0,1.5,relocated,31.85177,34.87023,משמר דוד,10.31
19,31.99181,34.85855,כביש ירושלים תל אביב,standard,0.4811,0.9623,0.0,52692,4.0,2.0,relocated,31.97784,34.90443,גינתון,4.59
20,32.95193,35.09089,גדוד 21,standard,0.4809,0.2268,0.735,12418,3.5,1.5,rural,,,,
21,31.98647,34.95076,444,standard,0.48,0.96,0.0,52565,2.5,1.5,urban_kept,,,,
22,32.0668,34.90258,כביש מכבית,standard,0.4798,0.9597,0.0,52549,4.0,2.0,urban_kept,,,,
23,31.86108,34.71304,4,standard,0.4755,0.6384,0.3125,34958,4.0,2.0,relocated,31.84596,34.71039,קבוצת יבנה,1.7
24,33.05705,35.32919,כביש הצפון,north,0.4742,0.178,0.7704,9746,2.5,1.5,rural,,,,
26,31.30964,34.4902,241,gaza,0.4716,0.002,0.9412,109,2.5,1.5,rural,,,,
27,31.89926,34.76249,42,standard,0.47,0.7513,0.1888,41140,3.5,1.5,relocated,31.89108,34.75721,יבנה,1.03
28,31.74148,34.64587,4,standard,0.4671,0.3357,0.5985,18384,4.0,2.0,rural,,,,
29,32.11981,34.93939,444,standard,0.4655,0.9309,0.0,50975,2.5,1.5,urban_kept,,,,
30,31.90034,34.73494,4,standard,0.465,0.7126,0.2175,39021,4.0,2.0,relocated,31.89154,34.73045,יבנה,1.06
31,31.79509,34.68501,4,standard,0.4618,0.4631,0.4605,25358,4.0,2.0,relocated,31.80266,34.69107,גן יבנה,1.02
32,31.71409,34.64351,232,standard,0.4574,0.2712,0.6437,14851,2.5,1.5,rural,,,,
33,31.85984,34.95673,424,standard,0.4553,0.9107,0.0,49866,2.5,1.0,urban_kept,,,,
34,32.01995,34.86071,412,standard,0.4551,0.9103,0.0,49846,2.5,1.5,urban_kept,,,,
35,32.95786,35.26536,854,standard,0.4549,0.2877,0.6221,15756,2.5,1.5,rural,,,,
36,31.69087,34.67899,3,standard,0.4515,0.2859,0.617,15658,3.5,1.5,rural,,,,
37,31.23149,34.35037,232,gaza,0.4512,0.0,0.9024,0,2.5,1.5,rural,,,,
38,31.95189,34.95546,443,standard,0.4511,0.9021,0.0,49398,3.5,1.5,urban_kept,,,,
39,31.89262,34.96483,431,standard,0.451,0.902,0.0,49394,4.0,1.5,urban_kept,,,,
40,32.90668,35.16857,70,standard,0.4508,0.3076,0.594,16845,3.5,1.5,rural,,,,
41,32.1214,34.88804,חוצה שומרון,standard,0.4488,0.8976,0.0,49150,4.0,2.5,relocated,32.10182,34.97789,גבעת השלושה,8.72
42,31.70112,34.7106,3,standard,0.4476,0.3416,0.5535,18705,3.5,1.5,relocated,31.70564,34.72183,אזור תעשייה באר טוביה,1.17
