alert_rank_alltime,alert_rank_marapr2026,lat,lon,road,risk_score,lanes_weight,alerts_alltime_15km,alerts_marapr2026_15km,status,relocated_from_lat,relocated_from_lon,nearest_city,moved_km
1,1,32.01663,34.92661,46,1.8,1.0,76105,54758,urban_kept,,,,
2,2,32.03464,34.95797,465,2.0,1.5,74383,54265,urban_kept,,,,
3,3,32.06815,34.93564,471,1.5,2.0,74212,54166,urban_kept,,,,
4,5,31.89237,34.91918,424,2.0,1.0,73455,52292,urban_kept,,,,
5,4,31.98409,34.94938,453,2.0,1.5,72961,52341,urban_kept,,,,
6,6,32.02789,34.87932,461,2.0,1.5,72372,51797,urban_kept,,,,
7,8,31.86226,34.89465,44,1.8,2.5,72186,51212,rural,,,,
8,7,32.09687,34.90146,483,2.0,1.5,70228,51274,urban_kept,,,,
9,10,31.84772,34.86736,6,1.5,1.5,68665,48503,urban_kept,,,,
10,12,31.9809,34.83528,44,1.8,2.5,68085,48064,relocated,32.01517,34.81082,אזור,4.45
11,9,32.12147,34.8882,5,1.5,2.0,66980,49150,relocated,32.10611,34.96407,ירחיב,7.33
12,13,32.06507,34.84423,471,1.5,2.0,65780,47393,urban_kept,,,,
13,11,32.14188,34.94385,444,2.0,1.5,65142,48388,urban_kept,,,,
14,17,31.91587,34.81699,423,2.0,2.0,64008,44911,urban_kept,,,,
15,14,31.89459,34.99499,431,1.5,1.5,63468,45854,urban_kept,,,,
16,15,32.0926,34.85228,481,2.0,2.0,62666,45564,urban_kept,,,,
17,19,31.88282,34.76949,410,2.0,1.5,61995,42058,relocated,31.88837,34.77877,קדרון,1.07
18,16,32.17185,34.89704,531,1.5,1.5,61575,45453,urban_kept,,,,
19,18,31.80378,34.83941,7,1.8,1.5,59469,42089,relocated,31.79683,34.79369,גני טל,4.38
20,21,31.93497,34.7998,412,2.0,1.5,58951,41281,urban_kept,,,,
21,23,31.99775,34.80166,4,1.8,2.0,57599,40730,relocated,32.14059,34.87288,הוד השרון,17.21
22,22,31.82584,34.95814,3,1.8,1.5,57018,40881,relocated,31.85467,35.02867,גיזו,7.38
23,20,32.16054,34.84258,482,2.0,2.0,56401,41481,urban_kept,,,,
24,24,32.12002,34.82535,482,2.0,2.0,55038,40150,urban_kept,,,,
25,25,32.20287,34.97157,444,2.0,1.5,52106,39101,urban_kept,,,,
26,29,31.8657,34.71501,4,1.8,2.0,50740,34280,relocated,31.87398,34.71922,יבנה,1.0
27,28,31.76198,34.79168,3,1.8,1.5,50435,34422,rural,,,,
28,26,32.2298,34.9505,554,2.0,1.0,49814,37587,urban_kept,,,,
29,30,32.08285,34.80347,482,2.0,2.0,47254,34018,urban_kept,,,,
30,27,32.18398,35.03045,55,1.8,1.5,46940,35647,relocated,32.17967,34.94579,רמת הכובש,7.97
31,31,31.94847,34.75132,20,1.5,2.0,46671,32425,rural,,,,
32,32,31.8716,35.13418,443,1.8,1.5,42368,31570,relocated,31.95633,34.93243,מצליח,21.21
33,33,32.23913,34.98195,6,1.5,1.5,41174,31442,urban_kept,,,,
34,34,31.77691,35.04577,395,2.0,1.5,40629,28965,relocated,31.77648,35.06649,רמת רזיאל,1.96
35,36,31.74897,34.87868,383,2.0,1.0,39677,28403,rural,,,,
36,37,31.80667,35.10342,425,2.0,1.0,39077,28009,urban_kept,,,,
37,38,31.74569,34.82003,383,2.0,1.0,38249,27293,rural,,,,
38,40,31.79509,34.68501,4,1.8,1.5,37860,25358,relocated,31.80808,34.69505,גן יבנה,1.72
39,35,32.26122,34.91571,562,2.0,1.5,37555,28410,urban_kept,,,,
40,39,32.18581,34.81545,2,1.5,2.0,36897,27146,urban_kept,,,,
41,42,31.82821,34.66286,41,1.5,1.5,35414,23614,rural,,,,
42,41,31.7496,35.00238,3855,2.0,1.5,34371,24365,urban_kept,,,,
43,45,31.76604,34.66753,4,1.8,1.5,33125,21671,rural,,,,
44,43,31.99614,34.73479,441,2.0,2.0,32887,22895,rural,,,,
45,44,32.27076,34.85071,2,1.5,2.0,29656,22395,urban_kept,,,,
46,48,32.94443,35.16334,70,4.0,1.5,28273,18420,rural,,,,
47,46,31.77198,35.13944,395,2.0,1.5,26964,19136,relocated,31.77741,35.0988,נס הרים,3.88
48,50,31.6961,34.69512,3,1.8,1.5,26461,17075,rural,,,,
49,53,33.01741,35.17648,89,4.0,1.5,26130,16465,rural,,,,
50,52,33.02379,35.25637,89,4.0,1.5,26099,16557,rural,,,,
51,49,32.89728,35.17223,70,4.0,1.5,25802,17516,rural,,,,
52,55,32.99873,35.14388,70,4.0,1.5,25544,16093,relocated,33.00768,35.14553,שומרה,1.01
53,51,32.97845,35.27223,854,4.0,1.5,25385,16750,rural,,,,
54,54,33.00261,35.28692,89,4.0,1.5,24734,16109,rural,,,,
55,47,32.31186,34.99851,57,1.8,2.0,24690,19020,rural,,,,
56,56,31.72422,34.6356,4,1.8,1.5,24014,14851,rural,,,,
57,59,31.68355,34.65306,232,4.0,1.0,22459,13947,rural,,,,
58,57,32.94728,35.26881,854,4.0,1.5,21691,14773,rural,,,,
59,58,32.83235,35.15543,70,4.0,1.5,20552,14218,rural,,,,
60,67,32.97092,35.09275,4,4.0,1.5,20070,12609,rural,,,,
61,60,32.83423,35.21687,781,2.0,1.5,19733,13745,rural,,,,
62,61,32.92583,35.29925,854,4.0,1.5,19651,13536,rural,,,,
63,62,32.83396,35.12386,79,1.8,1.5,19580,13509,rural,,,,
64,63,32.88934,35.25712,784,2.0,1.0,19244,13342,rural,,,,
65,66,32.92045,35.09696,85,4.0,2.5,19124,12616,relocated,32.9233,35.08658,עכו,1.02
66,64,31.69574,34.81455,6,1.5,1.5,17875,13052,rural,,,,
67,70,32.95592,35.35212,864,4.0,1.0,17763,11969,rural,,,,
68,71,32.91657,35.37086,804,4.0,1.0,17578,11948,rural,,,,
69,68,31.6917,34.75999,40,1.8,1.5,17417,12505,rural,,,,
70,72,32.85889,35.26515,784,2.0,1.0,16725,11758,rural,,,,
71,65,32.38103,34.99278,581,2.0,1.0,16293,12669,rural,,,,
72,69,32.38184,34.8655,2,1.5,2.0,15914,12288,rural,,,,
73,74,32.78928,35.14009,70,4.0,1.5,15794,10918,rural,,,,
74,77,32.80463,35.10397,780,2.0,1.5,15734,10828,rural,,,,
75,80,33.0207,35.33278,89,4.0,1.5,15565,10223,rural,,,,
76,73,32.86039,35.3055,805,2.0,1.0,15515,10959,rural,,,,
77,75,32.8103,35.25213,784,2.0,1.0,15402,10861,rural,,,,
78,78,32.78767,35.19806,79,1.8,1.5,15094,10494,rural,,,,
79,89,33.12173,35.56893,899,4.0,1.5,15063,8220,rural,,,,
80,79,31.79728,35.25749,1,1.5,2.0,14919,10394,relocated,31.92924,34.92749,ינון,34.39
81,83,32.80872,35.06728,4,4.0,1.5,14166,9701,rural,,,,
82,82,31.68714,35.00053,375,2.0,1.0,14164,10016,rural,,,,
83,81,31.68938,34.94521,38,1.8,1.5,14144,10109,rural,,,,
