rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,matched_route,matched_highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,suggested_capacity,alert_seconds,lanes_weight,nearest_seg_dist_km
1,33.06041,35.23072,כביש הצפון,north,0.5621,14686,כביש הצפון,primary,80,5.33,8000,800,12.5,12,240,1.5,0.19
2,33.01583,35.17106,89,standard,0.5565,16465,89,trunk,90,6.0,9000,900,14.0,12,240,1.5,0.01
3,32.98698,35.14722,70,standard,0.5374,16547,70,trunk,90,6.0,20000,2000,31.2,30,240,1.5,0.0
5,32.96085,35.15463,70,standard,0.5173,17553,70,trunk,90,7.5,20000,2000,39.0,30,300,1.5,0.02
6,32.97825,35.0938,גדוד 21,standard,0.5092,12425,גדוד 21,trunk,90,6.0,13000,1300,20.3,20,240,2.0,0.0
7,31.86148,34.89522,44,standard,0.5046,51554,44,trunk,80,6.67,18000,1800,35.1,30,300,1.5,0.07
8,32.01663,34.92661,46,standard,0.5,54758,46,trunk,90,7.5,4000,400,7.8,6,300,1.0,0.48
9,32.03258,34.9551,444,standard,0.4957,54291,444,primary,80,6.67,8000,800,15.6,12,300,1.5,0.0
10,33.00261,35.28692,89,standard,0.4947,16109,89,trunk,80,5.33,9000,900,14.0,12,240,1.5,0.05
11,31.86866,34.74622,שדרות העצמאות,standard,0.4929,39680,שדרות העצמאות,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
12,32.06814,34.93277,כביש מכבית,standard,0.4907,53735,כביש מכבית,motorway,90,7.5,8000,800,15.6,12,300,2.0,0.02
13,31.25739,34.40389,232,gaza,0.4849,109,232,primary,90,6.0,7000,700,10.9,12,240,1.5,0.02
14,31.80943,34.86972,3,standard,0.4848,43621,3,trunk,90,7.5,30000,3000,58.5,50,300,1.5,0.02
15,32.98146,35.27361,854,standard,0.4846,16750,854,primary,50,4.17,8000,800,15.6,12,300,1.5,0.08
16,31.68051,34.60975,4,standard,0.4826,12326,4,trunk,90,6.0,40000,4000,62.4,50,240,2.0,0.01
17,32.09759,34.93396,ראש העין,standard,0.4825,52844,ראש העין,primary,80,6.67,18000,1800,35.1,30,300,2.5,0.0
18,31.93083,34.92763,כביש חוצה ישראל,standard,0.4821,52803,כביש חוצה ישראל,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.41
19,31.99181,34.85855,כביש ירושלים תל אביב,standard,0.4811,52692,כביש ירושלים תל אביב,motorway,110,9.17,13000,1300,25.4,30,300,2.0,0.03
20,32.95193,35.09089,גדוד 21,standard,0.4809,12418,גדוד 21,trunk,90,6.0,8000,800,12.5,12,240,1.5,0.02
21,31.98647,34.95076,444,standard,0.48,52565,444,primary,90,7.5,8000,800,15.6,12,300,1.5,0.1
22,32.0668,34.90258,כביש מכבית,standard,0.4798,52549,כביש מכבית,motorway,100,8.33,8000,800,15.6,12,300,2.0,0.05
23,31.86108,34.71304,4,standard,0.4755,34958,4,motorway,110,9.17,40000,4000,78.0,50,300,2.0,0.21
24,33.05705,35.32919,כביש הצפון,north,0.4742,9746,כביש הצפון,primary,80,5.33,8000,800,12.5,12,240,1.5,1.82
26,31.30964,34.4902,241,gaza,0.4716,109,241,primary,80,5.33,8000,800,12.5,12,240,1.5,0.1
27,31.89926,34.76249,42,standard,0.47,41140,42,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
28,31.74148,34.64587,4,standard,0.4671,18384,4,trunk,90,7.5,40000,4000,78.0,50,300,2.0,0.05
29,32.11981,34.93939,444,standard,0.4655,50975,444,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
30,31.90034,34.73494,4,standard,0.465,39021,4,motorway,110,9.17,40000,4000,78.0,50,300,2.0,0.72
31,31.79509,34.68501,4,standard,0.4618,25358,4,trunk,90,7.5,40000,4000,78.0,50,300,2.0,0.02
32,31.71409,34.64351,232,standard,0.4574,14851,232,primary,80,5.33,7000,700,10.9,12,240,1.5,0.03
33,31.85984,34.95673,424,standard,0.4553,49866,424,primary,80,6.67,8000,800,15.6,12,300,1.0,0.04
34,32.01995,34.86071,412,standard,0.4551,49846,412,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
35,32.95786,35.26536,854,standard,0.4549,15756,854,primary,80,6.67,8000,800,15.6,12,300,1.5,0.82
36,31.69087,34.67899,3,standard,0.4515,15658,3,trunk,90,6.0,30000,3000,46.8,50,240,1.5,0.01
37,31.23149,34.35037,232,gaza,0.4512,0,232,primary,90,6.0,7000,700,10.9,12,240,1.5,0.1
